,City,Lat,Long,Max Temp,Humidity,Cloudiness (%),Wind Speed (m/s),Country,Date
358,Ulladulla,-35.35,150.47,284.26,100,90,3.6,AU,1596041296
359,Bac Lieu,9.29,105.72,300.4,83,100,4.24,VN,1596041296
360,Örnsköldsvik,63.29,18.72,288.15,93,100,3.6,SE,1596041296
361,Beaufort,5.35,115.75,298.15,94,20,0.5,MY,1596041252
362,Narrabri,-30.32,149.78,281.48,86,0,2.35,AU,1596041296
363,Three Hills,51.7,-113.27,297.59,56,72,3.93,CA,1596041296
364,Teknāf,20.86,92.31,300.41,87,100,3.14,BD,1596041297
365,Gorontalo,0.54,123.06,297.96,83,99,3.5,ID,1596041297
366,Ban Nahin,18.24,104.21,299.72,76,97,0.68,LA,1596041297
367,Sørland,67.67,12.69,289.15,77,67,5.1,NO,1596041297
368,Belyy Yar,53.6,91.39,290.15,93,54,1.0,RU,1596041297
369,Yuli,9.7,10.27,300.55,75,29,2.66,NG,1596041298
